index,time_s,temp_C,hum_pct,weight_g,flow_Lmin,lux,soil_pct,pwm3,pwm6
1,1.2,27.1,75.0,-999.0,0.000,573.0,0.5,0,0
2,2.2,27.1,75.0,621.4,0.000,542.0,0.3,0,0
3,3.2,27.1,75.0,621.4,0.000,545.0,0.3,150,0
4,4.2,27.1,75.0,600.2,0.000,524.0,-999.0,180,0
5,5.2,27.1,75.0,600.2,0.471,570.0,-999.0,180,0
6,6.2,27.1,75.0,557.6,1.255,568.0,-999.0,180,0
7,7.2,27.1,75.0,557.6,1.412,569.0,-999.0,180,0
8,8.2,27.1,75.0,519.5,1.412,560.0,-999.0,180,0
9,9.2,27.1,75.0,519.5,1.412,578.0,-999.0,180,0
10,10.2,27.1,75.0,476.4,1.255,579.0,-999.0,180,0
11,11.2,27.1,75.0,476.4,1.255,567.0,-999.0,180,0
12,12.2,27.1,75.0,432.7,1.255,568.0,-999.0,180,0
13,13.2,27.1,75.0,432.7,1.255,570.0,-999.0,180,0
14,14.2,27.1,75.0,396.8,1.255,570.0,-999.0,180,0
15,15.2,27.6,77.0,396.8,1.255,571.0,-999.0,0,0
16,16.2,27.6,77.0,391.0,0.627,575.0,-999.0,0,0
17,17.2,27.6,76.0,391.0,0.000,578.0,-999.0,0,0
18,18.2,27.6,76.0,391.0,0.000,523.0,-999.0,0,0
19,19.2,27.6,75.0,391.0,0.000,513.0,-999.0,0,0
20,20.2,27.6,75.0,390.9,0.000,513.0,-999.0,0,0
21,21.2,27.6,75.0,390.9,0.000,512.0,-999.0,0,0
22,22.2,27.6,75.0,391.0,0.000,584.0,-999.0,0,0
23,23.2,27.6,75.0,391.0,0.000,575.0,-999.0,0,0
24,24.2,27.6,75.0,390.9,0.000,507.0,-999.0,0,0
25,25.2,27.6,75.0,390.9,0.000,575.0,-999.0,0,0
26,26.2,27.6,75.0,391.0,0.000,572.0,-999.0,0,0
27,27.2,27.6,74.0,391.0,0.000,572.0,-999.0,0,0
28,28.2,27.6,74.0,391.0,0.000,572.0,-999.0,0,0
29,29.2,27.3,75.0,391.0,0.000,572.0,-999.0,0,0
30,30.2,27.3,75.0,391.0,0.000,572.0,-999.0,0,0
31,31.2,27.1,76.0,391.0,0.000,572.0,-999.0,0,0
32,32.2,27.1,76.0,391.0,0.000,573.0,-999.0,0,0
33,33.2,27.1,76.0,391.0,0.000,574.0,-999.0,0,0
34,34.2,27.1,76.0,391.0,0.000,574.0,-999.0,0,0
35,35.2,27.1,76.0,391.0,0.000,574.0,-999.0,0,0
36,36.2,27.1,76.0,390.9,0.000,574.0,-999.0,0,0
37,37.2,27.1,76.0,390.9,0.000,574.0,-999.0,0,0
38,38.2,27.1,76.0,390.9,0.000,574.0,-999.0,0,0
39,39.2,27.1,76.0,390.9,0.000,574.0,-999.0,0,0
40,40.2,27.1,76.0,391.0,0.000,575.0,-999.0,0,0
41,41.2,27.1,76.0,391.0,0.000,575.0,-999.0,0,0
42,42.2,27.1,76.0,390.9,0.000,575.0,-999.0,0,0
43,43.2,27.1,76.0,390.9,0.000,575.0,-999.0,0,0
44,44.2,27.1,76.0,390.9,0.000,521.0,-999.0,0,0
